"id","name","region","postCode","phoneCode"
1,Айтос,Бургас,8500,558
2,Аксаково,Варна,9154,52
3,Алфатар,Силистра,7570,8673
4,Антоново,Търговище,7970,6071
5,Априлци,Ловеч,5641,6958
6,Ардино,Кърджали,6750,3651
7,Асеновград,Пловдив,4230,331
8,Ахелой,Бургас,8217,596
9,Ахтопол,Бургас,8280,590
10,Балчик,Добрич,9600,579
11,Банкя,София град,1320,2997
12,Банско,Благоевград,2770,749
13,Баня,Пловдив,4360,3132
14,Батак,Пазарджик,4580,3553
15,Батановци,Перник,2340,7712
16,Белене,Плевен,5930,658
17,Белица,Благоевград,2780,7444
18,Белово,Пазарджик,4470,3581
19,Белоградчик,Видин,3900,936
20,Белослав,Варна,9178,5112
21,Берковица,Монтана,3500,953
22,Благоевград,Благоевград,2700,73
23,Бобов дол,Кюстендил,2670,702
24,Бобошево,Кюстендил,2660,7046
25,Божурище,Софийска,2227,2933
26,Бойчиновци,Монтана,3430,9513
27,Болярово,Ямбол,8720,4741
28,Борово,Русе,7174,8140
29,Ботевград,Софийска,2140,723
30,Брацигово,Пазарджик,4579,3552
31,Брегово,Видин,3790,9312
32,Брезник,Перник,2360,7751
33,Брезово,Пловдив,4160,3191
34,Брусарци,Монтана,3680,9783
35,Бургас,Бургас,8000,56
36,Бухово,София град,1830,2994
37,Българово,Бургас,8110,5915
38,Бяла,Варна,9101,5143
39,Бяла,Русе,7100,817
40,Бяла Слатина,Враца,3200,915
41,Бяла Черква,Велико Търново,5220,6134
42,Варна,Варна,9000,52
43,Велики Преслав,Шумен,9850,538
44,Велико Търново,Велико Търново,5000,62
45,Велинград,Пазарджик,4600,359
46,Ветово,Русе,7080,8161
47,Ветрен,Пазарджик,4480,3584
48,Видин,Видин,3700,94
49,Враца,Враца,3000,92
50,Вълчедръм,Монтана,3650,9744
51,Вълчи дол,Варна,9280,5131
52,Върбица,Шумен,9870,5391
53,Вършец,Монтана,3540,9527
54,Габрово,Габрово,5300,66
55,Генерал Тошево,Добрич,9500,5731
56,Главиница,Силистра,7630,8636
57,Глоджево,Русе,7040,8184
58,Годеч,Софийска,2240,729
59,Горна Оряховица,Велико Търново,5100,618
60,Гоце Делчев,Благоевград,2900,751
61,Грамада,Видин,3830,9337
62,Гулянци,Плевен,5960,6561
63,Гурково,Стара Загора,6199,4331
64,Гълъбово,Стара Загора,6280,418
65,Две могили,Русе,7150,8141
66,Дебелец,Велико Търново,5030,6117
67,Девин,Смолян,4800,3041
68,Девня,Варна,9160,519
69,Джебел,Кърджали,6850,3632
70,Димитровград,Хасково,6400,391
71,Димово,Видин,3750,9341
72,Добринище,Благоевград,2777,7447
73,Добрич,Добрич,9300,58
74,Долна баня,Софийска,2040,7120
75,Долна Митрополия,Плевен,5855,6552
76,Долна Оряховица,Велико Търново,5130,6173
77,Долни Дъбник,Плевен,5870,6514
78,Долни чифлик,Варна,9120,5142
79,Доспат,Смолян,4831,3045
80,Драгоман,Софийска,2210,7172
81,Дряново,Габрово,5370,676
82,Дулово,Силистра,7650,855
83,Дунавци,Видин,3740,9314
84,Дупница,Кюстендил,2600,701
85,Дългопол,Варна,9250,517
86,Елена,Велико Търново,5070,6151
87,Елин Пелин,Софийска,2100,725
88,Елхово,Ямбол,8700,478
89,Етрополе,Софийска,2180,712
90,Завет,Разград,7330,8442
91,Земен,Перник,2440,7741
92,Златарица,Велико Търново,5090,6197
93,Златица,Софийска,2080,728
94,Златоград,Смолян,4980,3071
95,Ивайловград,Хасково,6570,3661
96,Игнатиево,Варна,9143,5119
97,Искър,Плевен,5868,6516
98,Исперих,Разград,7400,835
99,Ихтиман,Софийска,2050,724
100,Каблешково,Бургас,8210,5968
101,Каварна,Добрич,9650,570
102,Казанлък,Стара Загора,6100,431
103,Калофер,Пловдив,4370,3133
104,Камено,Бургас,8120,5515
105,Каолиново,Шумен,9960,5361
106,Карлово,Пловдив,4300,335
107,Карнобат,Бургас,8400,559
108,Каспичан,Шумен,9930,5327
109,Кермен,Сливен,8870,4516
110,Килифарево,Велико Търново,5050,6114
111,Китен,Бургас,8183,550
112,Клисура,Пловдив,4341,3137
113,Кнежа,Плевен,5835,9132
114,Козлодуй,Враца,3320,973
115,Койнаре,Плевен,5986,6573
116,Копривщица,Софийска,2077,7184
117,Костандово,Пазарджик,4644,3544
118,Костенец,Софийска,2030,720
119,Костинброд,Софийска,2230,721
